threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
0.4444444444	158429	57124	47596	0.601173	0.647009	0.512606	0.427106
0.4545454545	158429	57124	45609	0.600595	0.649957	0.518275	0.413802
0.4646464646	158429	57124	43880	0.598196	0.650986	0.520852	0.400095
0.4747474747	158429	57124	41955	0.595589	0.652343	0.524371	0.385127
0.4848484848	158429	57124	40509	0.593091	0.653012	0.526550	0.373398
0.4949494949	158429	57124	39051	0.590666	0.653870	0.529282	0.361827
0.5050505051	158429	57124	37381	0.587059	0.654287	0.531473	0.347787
0.5151515152	158429	57124	35826	0.585358	0.656187	0.537040	0.336811
0.5252525253	158429	57124	34454	0.583184	0.657399	0.541301	0.326483
0.5353535354	158429	57124	33302	0.580006	0.657386	0.542700	0.316382
0.5454545455	158429	57124	32246	0.577218	0.657550	0.544502	0.307366
0.5555555556	158429	57124	30992	0.575737	0.659305	0.550787	0.298824
0.5656565657	158429	57124	29653	0.572293	0.659778	0.554345	0.287760
0.5757575758	158429	57124	28553	0.569855	0.660561	0.558610	0.279217
0.5858585859	158429	57124	27494	0.566885	0.660895	0.561832	0.270412
0.5959595960	158429	57124	26432	0.563003	0.660605	0.563446	0.260714
0.6060606061	158429	57124	25096	0.558710	0.660820	0.567501	0.249317
0.6161616162	158429	57124	24148	0.554283	0.659999	0.567459	0.239882
0.6262626263	158429	57124	22843	0.551571	0.661558	0.576719	0.230621
0.6363636364	158429	57124	21942	0.547496	0.661047	0.578024	0.222026
0.6464646465	158429	57124	20796	0.543707	0.661539	0.584199	0.212678
0.6565656566	158429	57124	19894	0.539310	0.660959	0.585704	0.203977
0.6666666667	158429	57124	19048	0.534449	0.659949	0.585311	0.195172
0.6767676768	158429	57124	17889	0.529145	0.659677	0.589636	0.184651
0.6868686869	158429	57124	16873	0.522509	0.658124	0.587744	0.173605
0.6969696970	158429	57124	15768	0.516423	0.657386	0.590183	0.162909
0.7070707071	158429	57124	14944	0.511194	0.656439	0.590137	0.154383
0.7171717172	158429	57124	14006	0.504825	0.655177	0.589033	0.144423
0.7272727273	158429	57124	13281	0.499107	0.653731	0.585272	0.136072
0.7373737374	158429	57124	12295	0.492098	0.652418	0.583652	0.125621
0.7474747475	158429	57124	11537	0.485996	0.651017	0.579527	0.117044
0.7575757576	158429	57124	10760	0.481426	0.650809	0.583736	0.109954
0.7676767677	158429	57124	10019	0.478345	0.651535	0.595668	0.104474
0.7777777778	158429	57124	9212	0.473404	0.651339	0.602366	0.097140
0.7878787879	158429	57124	8516	0.468180	0.650607	0.603922	0.090032
0.7979797980	158429	57124	7616	0.461411	0.649761	0.607405	0.080982
0.8080808081	158429	57124	6983	0.455510	0.648505	0.602893	0.073699
0.8181818182	158429	57124	6279	0.450520	0.648202	0.610607	0.067117
0.8282828283	158429	57124	5812	0.445369	0.646870	0.601342	0.061183
0.8383838384	158429	57124	5453	0.442347	0.646473	0.602237	0.057489
0.8484848485	158429	57124	4995	0.438465	0.645980	0.603804	0.052797
0.8585858586	158429	57124	4624	0.435782	0.645898	0.610727	0.049436
0.8686868687	158429	57124	4258	0.432301	0.645317	0.609441	0.045427
0.8787878788	158429	57124	3666	0.428098	0.645317	0.627114	0.040246
0.8888888889	158429	57124	3455	0.425364	0.644566	0.617656	0.037357
0.8989898990	158429	57124	3202	0.423185	0.644358	0.621799	0.034854
0.9090909091	158429	57124	2964	0.421047	0.644118	0.625169	0.032438
0.9191919192	158429	57124	2875	0.419845	0.643784	0.619826	0.031195
0.9292929293	158429	57124	2749	0.418003	0.643228	0.609312	0.029322
0.9393939394	158429	57124	2646	0.416996	0.643083	0.609221	0.028219
0.9494949495	158429	57124	2573	0.416129	0.642887	0.606296	0.027309
0.9595959596	158429	57124	2480	0.415171	0.642730	0.605242	0.026276
0.9696969697	158429	57124	2342	0.413859	0.642565	0.605892	0.024841
0.9797979798	158429	57124	2100	0.410335	0.641543	0.579524	0.021305
0.9898989899	158429	57124	1991	0.408904	0.641183	0.569563	0.019852
1.0000000000	158429	57124	1985	0.408921	0.641221	0.571285	0.019852
