threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
0.0000000000	158429	57124	158429	0.265011	0.360565	0.360565	1.000000
0.0101010101	158429	57124	155978	0.282324	0.367793	0.362045	0.988569
0.0202020202	158429	57124	154769	0.290496	0.371296	0.362760	0.982844
0.0303030303	158429	57124	152934	0.302817	0.376857	0.363994	0.974494
0.0404040404	158429	57124	150547	0.318360	0.384210	0.365706	0.963798
0.0505050505	158429	57124	147136	0.338696	0.394038	0.367884	0.947570
0.0606060606	158429	57124	142341	0.365338	0.407918	0.371158	0.924848
0.0707070707	158429	57124	135884	0.397130	0.425850	0.375489	0.893197
0.0808080808	158429	57124	127826	0.432208	0.448119	0.381440	0.853547
0.0909090909	158429	57124	118440	0.468781	0.474995	0.390020	0.808662
0.1010101010	158429	57124	108424	0.501408	0.502414	0.399893	0.759015
0.1111111111	158429	57124	98646	0.529007	0.529139	0.411431	0.710489
0.1212121212	158429	57124	89819	0.550541	0.552904	0.423685	0.666182
0.1313131313	158429	57124	82251	0.566068	0.572345	0.435387	0.626899
0.1414141414	158429	57124	75917	0.576958	0.587822	0.446145	0.592921
0.1515151515	158429	57124	70910	0.585433	0.600692	0.456720	0.566942
0.1616161616	158429	57124	67387	0.591705	0.610419	0.465891	0.549594
0.1717171717	158429	57124	64748	0.595116	0.616674	0.472154	0.535169
0.1818181818	158429	57124	62941	0.598328	0.621881	0.477908	0.526574
0.1919191919	158429	57124	61715	0.600184	0.625151	0.481666	0.520377
0.2020202020	158429	57124	60945	0.601552	0.627410	0.484371	0.516771
0.2121212121	158429	57124	60321	0.602204	0.628824	0.486066	0.513269
0.2222222222	158429	57124	59899	0.602696	0.629834	0.487304	0.510976
0.2323232323	158429	57124	59621	0.602941	0.630428	0.488033	0.509366
0.2424242424	158429	57124	59403	0.603228	0.630983	0.488730	0.508228
0.2525252525	158429	57124	59276	0.603434	0.631343	0.489186	0.507615
0.2626262626	158429	57124	59159	0.603708	0.631753	0.489714	0.507160
0.2727272727	158429	57124	59073	0.603843	0.631993	0.490021	0.506740
0.2828282828	158429	57124	59009	0.603873	0.632106	0.490163	0.506337
0.2929292929	158429	57124	58893	0.603856	0.632245	0.490330	0.505514
0.3030303030	158429	57124	58849	0.603887	0.632334	0.490442	0.505252
0.3131313131	158429	57124	58812	0.603800	0.632302	0.490393	0.504884
0.3232323232	158429	57124	58752	0.603808	0.632391	0.490502	0.504481
0.3333333333	158429	57124	58684	0.603723	0.632403	0.490508	0.503904
0.3434343434	158429	57124	58633	0.603724	0.632473	0.490594	0.503554
0.3535353535	158429	57124	58588	0.603706	0.632517	0.490647	0.503221
0.3636363636	158429	57124	58549	0.603602	0.632473	0.490581	0.502818
0.3737373737	158429	57124	58512	0.603568	0.632492	0.490600	0.502521
0.3838383838	158429	57124	58471	0.603447	0.632435	0.490517	0.502083
0.3939393939	158429	57124	58448	0.603434	0.632454	0.490539	0.501908
0.4040404040	158429	57124	57057	0.603514	0.634442	0.493068	0.492490
0.4141414141	158429	57124	54782	0.602176	0.636481	0.495729	0.475404
0.4242424242	158429	57124	52310	0.601108	0.639258	0.499732	0.457619
0.4343434343	158429	57124	50023	0.600133	0.642029	0.504108	0.441443
