split	slice_type	slice_value	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
validation	overall	all	0.3030303030	1703	624	708	0.599304	0.618321	0.481638	0.546474
validation	assay_concept	oral_bioavailability	0.3030303030	400	152	200	0.563718	0.570000	0.450000	0.592105
validation	assay_concept	oral_exposure	0.3030303030	400	144	202	0.562018	0.570000	0.430693	0.604167
validation	assay_concept	Fa	0.3030303030	295	94	95	0.536806	0.596610	0.368421	0.372340
validation	assay_concept	Fg	0.3030303030	208	58	8	0.477749	0.721154	0.500000	0.068966
validation	assay_concept	Fh	0.3030303030	400	176	203	0.676609	0.677500	0.615764	0.710227
validation	tanimoto_bucket	low	0.3030303030	1000	286	5	0.426927	0.715000	0.600000	0.010490
validation	tanimoto_bucket	high	0.3030303030	703	338	703	0.324688	0.480797	0.480797	1.000000
test	overall	all	0.3030303030	1703	589	706	0.619375	0.641221	0.484419	0.580645
test	assay_concept	oral_bioavailability	0.3030303030	400	151	201	0.568791	0.575000	0.452736	0.602649
test	assay_concept	oral_exposure	0.3030303030	400	159	201	0.585859	0.590000	0.487562	0.616352
test	assay_concept	Fa	0.3030303030	295	83	96	0.570947	0.637288	0.375000	0.433735
test	assay_concept	Fg	0.3030303030	208	47	8	0.528582	0.783654	0.625000	0.106383
test	assay_concept	Fh	0.3030303030	400	149	200	0.682336	0.687500	0.560000	0.751678
test	tanimoto_bucket	low	0.3030303030	1000	247	3	0.428571	0.750000	0.000000	0.000000
test	tanimoto_bucket	high	0.3030303030	703	342	703	0.327273	0.486486	0.486486	1.000000
