threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
0.0000000000	705033	191353	705033	0.213472	0.271410	0.271410	1.000000
0.0101010101	705033	191353	693035	0.230329	0.280139	0.271892	0.984730
0.0202020202	705033	191353	687287	0.237684	0.283906	0.271917	0.976650
0.0303030303	705033	191353	678492	0.249007	0.290046	0.272151	0.964981
0.0404040404	705033	191353	665895	0.265067	0.299324	0.272752	0.949157
0.0505050505	705033	191353	645723	0.288649	0.313601	0.273447	0.922750
0.0606060606	705033	191353	616122	0.320950	0.335286	0.274970	0.885353
0.0707070707	705033	191353	571961	0.360854	0.365221	0.276045	0.825109
0.0808080808	705033	191353	516991	0.403226	0.403239	0.278156	0.751512
0.0909090909	705033	191353	450893	0.444671	0.449075	0.281470	0.663240
0.1010101010	705033	191353	381881	0.477394	0.495658	0.284979	0.568729
0.1111111111	705033	191353	314115	0.502637	0.542487	0.291145	0.477928
0.1212121212	705033	191353	252278	0.517602	0.583916	0.297842	0.392672
0.1313131313	705033	191353	198564	0.525149	0.620008	0.307231	0.318809
0.1414141414	705033	191353	155804	0.525691	0.647902	0.317437	0.258465
0.1515151515	705033	191353	121760	0.521482	0.669350	0.328490	0.209022
0.1616161616	705033	191353	95215	0.516741	0.686988	0.345975	0.172153
0.1717171717	705033	191353	76777	0.511600	0.699155	0.364849	0.146389
0.1818181818	705033	191353	63740	0.506852	0.707700	0.384468	0.128067
0.1919191919	705033	191353	55042	0.503204	0.713436	0.402947	0.115906
0.2020202020	705033	191353	49260	0.499559	0.716707	0.414961	0.106824
0.2121212121	705033	191353	45071	0.497040	0.719236	0.426838	0.100537
0.2222222222	705033	191353	42373	0.495714	0.721068	0.437425	0.096863
0.2323232323	705033	191353	40402	0.494551	0.722318	0.445275	0.094015
0.2424242424	705033	191353	39148	0.493690	0.723056	0.450163	0.092097
0.2525252525	705033	191353	38215	0.493264	0.723726	0.455135	0.090895
0.2626262626	705033	191353	37628	0.492773	0.724029	0.457266	0.089918
0.2727272727	705033	191353	37011	0.492637	0.724555	0.461565	0.089275
0.2828282828	705033	191353	36578	0.492213	0.724746	0.462956	0.088496
0.2929292929	705033	191353	36175	0.491715	0.724870	0.463746	0.087670
0.3030303030	705033	191353	35798	0.491739	0.725251	0.467121	0.087388
0.3131313131	705033	191353	35630	0.491630	0.725356	0.468004	0.087143
0.3232323232	705033	191353	35447	0.491506	0.725468	0.468954	0.086871
0.3333333333	705033	191353	35297	0.491323	0.725516	0.469303	0.086568
0.3434343434	705033	191353	35048	0.491147	0.725665	0.470583	0.086191
0.3535353535	705033	191353	34933	0.491109	0.725758	0.471417	0.086061
0.3636363636	705033	191353	34845	0.490964	0.725766	0.471431	0.085847
0.3737373737	705033	191353	34708	0.490839	0.725833	0.471995	0.085611
0.3838383838	705033	191353	34593	0.490621	0.725828	0.471858	0.085303
0.3939393939	705033	191353	34476	0.490510	0.725884	0.472329	0.085099
0.4040404040	705033	191353	33680	0.489067	0.725892	0.471764	0.083035
0.4141414141	705033	191353	32377	0.487854	0.726532	0.477592	0.080809
0.4242424242	705033	191353	31073	0.486175	0.726935	0.481222	0.078144
0.4343434343	705033	191353	29793	0.483597	0.726850	0.479408	0.074642
0.4444444444	705033	191353	28407	0.481182	0.726974	0.479952	0.071251
0.4545454545	705033	191353	26927	0.478384	0.727011	0.479333	0.067451
0.4646464646	705033	191353	25863	0.477020	0.727389	0.483625	0.065366
0.4747474747	705033	191353	24857	0.475067	0.727409	0.483244	0.062774
0.4848484848	705033	191353	24065	0.473772	0.727556	0.484854	0.060976
0.4949494949	705033	191353	23157	0.472314	0.727746	0.487153	0.058954
0.5050505051	705033	191353	22097	0.470864	0.728106	0.492284	0.056848
0.5151515152	705033	191353	20792	0.468614	0.728323	0.495479	0.053838
0.5252525253	705033	191353	20143	0.467770	0.728577	0.499777	0.052610
0.5353535354	705033	191353	18695	0.464423	0.728413	0.496657	0.048523
0.5454545455	705033	191353	17970	0.463282	0.728610	0.500390	0.046992
0.5555555556	705033	191353	17450	0.462246	0.728644	0.501089	0.045696
0.5656565657	705033	191353	16796	0.460619	0.728528	0.498690	0.043773
0.5757575758	705033	191353	16059	0.459150	0.728586	0.499907	0.041954
0.5858585859	705033	191353	15548	0.457962	0.728545	0.498971	0.040543
0.5959595960	705033	191353	14876	0.456619	0.728604	0.500336	0.038897
0.6060606061	705033	191353	14092	0.455533	0.728919	0.508232	0.037428
0.6161616162	705033	191353	13618	0.454437	0.728894	0.507857	0.036143
0.6262626263	705033	191353	13071	0.453600	0.729079	0.513197	0.035056
0.6363636364	705033	191353	12566	0.452410	0.729047	0.512812	0.033676
0.6464646465	705033	191353	11633	0.451697	0.729726	0.534428	0.032490
0.6565656566	705033	191353	11022	0.450588	0.729858	0.540555	0.031136
0.6666666667	705033	191353	10517	0.449238	0.729757	0.539127	0.029631
0.6767676768	705033	191353	10055	0.447937	0.729635	0.536648	0.028199
0.6868686869	705033	191353	9694	0.447166	0.729662	0.538993	0.027306
0.6969696970	705033	191353	9163	0.445983	0.729681	0.541962	0.025952
0.7070707071	705033	191353	8643	0.444735	0.729658	0.543561	0.024551
0.7171717172	705033	191353	7692	0.442675	0.729733	0.552392	0.022205
0.7272727273	705033	191353	7362	0.442007	0.729784	0.557186	0.021437
0.7373737374	705033	191353	7021	0.441073	0.729720	0.556758	0.020428
0.7474747475	705033	191353	6576	0.439561	0.729498	0.548662	0.018855
0.7575757576	705033	191353	6014	0.438679	0.729716	0.566013	0.017789
0.7676767677	705033	191353	5604	0.437742	0.729736	0.572091	0.016754
0.7777777778	705033	191353	5004	0.436545	0.729852	0.588929	0.015401
0.7878787879	705033	191353	4673	0.435549	0.729757	0.588059	0.014361
0.7979797980	705033	191353	4103	0.433450	0.729414	0.570802	0.012239
0.8080808081	705033	191353	3560	0.432170	0.729435	0.583708	0.010860
0.8181818182	705033	191353	3219	0.431373	0.729454	0.594595	0.010002
0.8282828283	705033	191353	2978	0.430480	0.729311	0.585292	0.009109
0.8383838384	705033	191353	2849	0.429932	0.729201	0.575641	0.008571
0.8484848485	705033	191353	2577	0.429511	0.729320	0.599922	0.008079
0.8585858586	705033	191353	2480	0.429143	0.729259	0.595161	0.007713
0.8686868687	705033	191353	2376	0.428855	0.729245	0.597222	0.007416
0.8787878788	705033	191353	2166	0.428040	0.729106	0.584026	0.006611
0.8888888889	705033	191353	2012	0.427897	0.729220	0.610338	0.006417
0.8989898990	705033	191353	1907	0.427675	0.729238	0.619822	0.006177
0.9090909091	705033	191353	1558	0.426494	0.729092	0.613607	0.004996
0.9191919192	705033	191353	1516	0.426281	0.729041	0.604881	0.004792
0.9292929293	705033	191353	1494	0.426238	0.729047	0.607764	0.004745
0.9393939394	705033	191353	1466	0.426120	0.729024	0.604366	0.004630
0.9494949495	705033	191353	1437	0.426020	0.729011	0.603340	0.004531
0.9595959596	705033	191353	1427	0.425977	0.729003	0.601962	0.004489
0.9696969697	705033	191353	1399	0.425901	0.729000	0.603288	0.004411
0.9797979798	705033	191353	1274	0.425440	0.728930	0.594192	0.003956
0.9898989899	705033	191353	1215	0.425145	0.728861	0.578601	0.003674
1.0000000000	705033	191353	1215	0.425145	0.728861	0.578601	0.003674
