canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
oral_bioavailability.absolute.percent	0.0000000000	68520	20789	68520	0.232776	0.303400	0.303400	1.000000
oral_bioavailability.absolute.percent	0.0101010101	68520	20789	66826	0.261297	0.318666	0.306243	0.984415
oral_bioavailability.absolute.percent	0.0202020202	68520	20789	66233	0.269221	0.322504	0.306494	0.976478
oral_bioavailability.absolute.percent	0.0303030303	68520	20789	65437	0.280565	0.328605	0.307334	0.967387
oral_bioavailability.absolute.percent	0.0404040404	68520	20789	64351	0.295536	0.336982	0.308542	0.955072
oral_bioavailability.absolute.percent	0.0505050505	68520	20789	62592	0.317287	0.349402	0.309960	0.933234
oral_bioavailability.absolute.percent	0.0606060606	68520	20789	60589	0.338861	0.362142	0.310882	0.906056
oral_bioavailability.absolute.percent	0.0707070707	68520	20789	56883	0.368298	0.379568	0.309055	0.845640
oral_bioavailability.absolute.percent	0.0808080808	68520	20789	52996	0.403880	0.407399	0.313042	0.798018
oral_bioavailability.absolute.percent	0.0909090909	68520	20789	48217	0.440923	0.440952	0.318352	0.738371
oral_bioavailability.absolute.percent	0.1010101010	68520	20789	42513	0.465611	0.468710	0.316350	0.646929
oral_bioavailability.absolute.percent	0.1111111111	68520	20789	37679	0.493776	0.504670	0.325486	0.589927
oral_bioavailability.absolute.percent	0.1212121212	68520	20789	32632	0.517109	0.540558	0.336173	0.527683
oral_bioavailability.absolute.percent	0.1313131313	68520	20789	27811	0.535844	0.575073	0.350293	0.468613
oral_bioavailability.absolute.percent	0.1414141414	68520	20789	24051	0.549360	0.603182	0.366929	0.424503
oral_bioavailability.absolute.percent	0.1515151515	68520	20789	21283	0.554975	0.621278	0.378753	0.387753
oral_bioavailability.absolute.percent	0.1616161616	68520	20789	18788	0.562141	0.640266	0.397275	0.359036
oral_bioavailability.absolute.percent	0.1717171717	68520	20789	17292	0.564402	0.650365	0.408397	0.339699
oral_bioavailability.absolute.percent	0.1818181818	68520	20789	16310	0.565877	0.657166	0.417167	0.327288
