canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.9166666667	15	2	7	0.603175	0.666667	0.285714	1.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.9583333333	15	2	0	0.464286	0.866667	0.000000	0.000000
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	1.0000000000	15	2	0	0.464286	0.866667	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0000000000	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0416666667	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0833333333	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.1250000000	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.1666666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.2083333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.2500000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.2916666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.3333333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.3750000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.4166666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.4583333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.5000000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.5416666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.5833333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.6250000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.6666666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.7083333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.7500000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.7916666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.8333333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.8750000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.9166666667	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.9583333333	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	1.0000000000	3	3	0	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.0000000000	262	213	262	0.448421	0.812977	0.812977	1.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.0416666667	262	213	243	0.425439	0.740458	0.798354	0.910798
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.0833333333	262	213	191	0.448762	0.610687	0.790576	0.708920
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.1250000000	262	213	111	0.377346	0.412214	0.765766	0.399061
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.1666666667	262	213	35	0.288043	0.290076	0.885714	0.145540
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.2083333333	262	213	9	0.179345	0.198473	0.666667	0.028169
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.2500000000	262	213	3	0.149351	0.175573	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.2916666667	262	213	3	0.149351	0.175573	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.3333333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.3750000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.4166666667	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.4583333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.5000000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.5416666667	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.5833333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.6250000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.6666666667	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.7083333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.7500000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.7916666667	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.8333333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.8750000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.9166666667	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.9583333333	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	1.0000000000	262	213	0	0.157556	0.187023	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.0000000000	136	113	136	0.453815	0.830882	0.830882	1.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.0416666667	136	113	135	0.451613	0.823529	0.829630	0.991150
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.0833333333	136	113	88	0.456801	0.580882	0.818182	0.637168
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.1250000000	136	113	34	0.326476	0.330882	0.823529	0.247788
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.1666666667	136	113	10	0.220822	0.227941	0.900000	0.079646
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.2083333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.2500000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.2916666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.3333333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.3750000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.4166666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.4583333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.5000000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.5416666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.5833333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.6250000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.6666666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.7083333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.7500000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.7916666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.8333333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.8750000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.9166666667	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.9583333333	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	1.0000000000	136	113	0	0.144654	0.169118	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.0000000000	5	0	5	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.0416666667	5	0	5	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.0833333333	5	0	5	0.000000	0.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.1250000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.1666666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.2083333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.2500000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.2916666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.3333333333	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.3750000000	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.4166666667	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.4583333333	5	0	0	0.500000	1.000000	0.000000	0.000000
