split	slice_type	slice_value	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
validation	overall	all	0.1414141414	2000	773	1165	0.572589	0.573000	0.465236	0.701164
validation	assay_concept	oral_bioavailability	0.1414141414	400	149	236	0.591926	0.592500	0.470339	0.744966
validation	assay_concept	oral_exposure	0.1414141414	400	179	228	0.597377	0.597500	0.539474	0.687151
validation	assay_concept	Fa	0.1414141414	400	136	240	0.533320	0.535000	0.395833	0.698529
validation	assay_concept	Fg	0.1414141414	400	135	234	0.509554	0.512500	0.371795	0.644444
validation	assay_concept	Fh	0.1414141414	400	174	227	0.627498	0.627500	0.555066	0.724138
validation	tanimoto_bucket	low	0.1414141414	1000	269	165	0.473254	0.642000	0.230303	0.141264
validation	tanimoto_bucket	high	0.1414141414	1000	504	1000	0.335106	0.504000	0.504000	1.000000
test	overall	all	0.1414141414	2000	726	1186	0.560148	0.561000	0.435919	0.712121
test	assay_concept	oral_bioavailability	0.1414141414	400	138	236	0.548091	0.550000	0.411017	0.702899
test	assay_concept	oral_exposure	0.1414141414	400	174	238	0.554599	0.555000	0.491597	0.672414
test	assay_concept	Fa	0.1414141414	400	129	233	0.530765	0.535000	0.377682	0.682171
test	assay_concept	Fg	0.1414141414	400	121	239	0.530303	0.535000	0.364017	0.719008
test	assay_concept	Fh	0.1414141414	400	164	240	0.629963	0.630000	0.533333	0.780488
test	tanimoto_bucket	low	0.1414141414	1000	258	186	0.499178	0.654000	0.263441	0.189922
test	tanimoto_bucket	high	0.1414141414	1000	468	1000	0.318801	0.468000	0.468000	1.000000
