train_rows	canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
241	q1.oral_exposure.auc.ug_l_h.zero_to_infinity	0.1250000000	241	93	49	0.560729	0.634855	0.551020	0.290323
296	q1.oral_exposure.auc.ug_l_h.zero_to_last	0.0833333333	296	87	144	0.598902	0.618243	0.409722	0.678161
198	q1.oral_exposure.auc.ug_min_ml.zero_to_infinity	0.1250000000	198	32	66	0.525407	0.646465	0.212121	0.437500
350	q1.oral_exposure.auc.ug_min_ml.zero_to_last	0.6666666667	350	58	0	0.454829	0.834286	0.000000	0.000000
100	q1.oral_exposure.auc.ug_ml_1_h.zero_to_last	0.2083333333	100	9	3	0.734043	0.940000	1.000000	0.333333
138	q1.oral_exposure.auc.ug_ml_h.zero_to_infinity	0.1250000000	138	26	34	0.510185	0.666667	0.205882	0.269231
265	q1.oral_exposure.auc.ug_ml_h.zero_to_last	0.1250000000	265	88	91	0.557131	0.603774	0.406593	0.420455
383	q1.oral_exposure.auc.um_h.zero_to_infinity	0.5416666667	383	50	6	0.576157	0.885117	1.000000	0.120000
353	q1.oral_exposure.auc.um_h.zero_to_last	0.1250000000	353	65	65	0.509722	0.705382	0.200000	0.200000
571	q1.oral_exposure.cmax.dimensionless_ratio	0.0833333333	571	498	435	0.493413	0.697023	0.873563	0.763052
76	q1.oral_exposure.cmax.mcg_ml	0.0833333333	76	34	57	0.493425	0.513158	0.473684	0.794118
2781	q1.oral_exposure.cmax.mg_l	0.1250000000	2781	864	626	0.602143	0.687882	0.496805	0.359954
98	q1.oral_exposure.cmax.mg_l_1	0.1250000000	98	46	38	0.791667	0.795918	0.842105	0.695652
38051	q1.oral_exposure.cmax.ng_ml	0.1666666667	38051	6455	5637	0.541230	0.754750	0.244811	0.213788
1333	q1.oral_exposure.cmax.ng_ml_1	0.1666666667	1333	251	114	0.522265	0.774194	0.280702	0.127490
924	q1.oral_exposure.cmax.nm	0.1250000000	924	135	293	0.519574	0.658009	0.191126	0.414815
564	q1.oral_exposure.cmax.nmol_l	0.1250000000	564	99	108	0.505956	0.703901	0.185185	0.202020
86	q1.oral_exposure.cmax.nmol_l_1	0.1250000000	86	29	23	0.669231	0.720930	0.608696	0.482759
64	q1.oral_exposure.cmax.nmol_ml	0.1250000000	64	10	1	0.552448	0.859375	1.000000	0.100000
1329	q1.oral_exposure.cmax.percent	0.0833333333	1329	887	988	0.455953	0.547780	0.644737	0.718151
2777	q1.oral_exposure.cmax.pg_ml	0.4583333333	2777	403	247	0.606223	0.837234	0.400810	0.245658
3089	q1.oral_exposure.cmax.ug_l	0.1666666667	3089	540	213	0.542513	0.804144	0.347418	0.137037
190	q1.oral_exposure.cmax.ug_l_1	0.2083333333	190	31	0	0.455587	0.836842	0.000000	0.000000
11995	q1.oral_exposure.cmax.ug_ml	0.1666666667	11995	2976	2238	0.536364	0.684535	0.319482	0.240255
1031	q1.oral_exposure.cmax.ug_ml_1	0.1250000000	1031	325	311	0.488442	0.563531	0.299035	0.286154
1506	q1.oral_exposure.cmax.um	0.1666666667	1506	319	159	0.527530	0.747676	0.308176	0.153605
503	q1.oral_exposure.cmax.umol_l	0.1250000000	503	148	195	0.466938	0.520875	0.261538	0.344595
313	q1.oral_exposure.cmin.ng_ml	0.2083333333	313	74	11	0.530347	0.779553	0.727273	0.108108
58	q1.oral_exposure.cmin.pg_ml	0.1250000000	58	14	26	0.580263	0.620690	0.346154	0.642857
171	q1.oral_exposure.dose_normalized.ng_h_ml	0.0833333333	171	15	77	0.524174	0.625731	0.181818	0.933333
197	q1.oral_exposure.dose_normalized.ng_h_ml_mg	0.0833333333	197	88	105	0.497255	0.497462	0.447619	0.534091
142	q1.oral_exposure.dose_normalized.ng_ml	0.0833333333	142	10	67	0.492189	0.598592	0.149254	1.000000
203	q1.oral_exposure.dose_normalized.ng_ml_mg	0.0833333333	203	50	99	0.432768	0.472906	0.212121	0.420000
103	q1.oral_exposure.dose_normalized.ng_ml_per_mg	0.1666666667	103	11	6	0.839714	0.951456	1.000000	0.545455
132	q1.oral_exposure.dose_normalized.percent	0.0833333333	132	70	91	0.594042	0.613636	0.604396	0.785714
39293	q1.oral_exposure.tmax.hour	0.0833333333	39293	27442	28761	0.518455	0.607640	0.709050	0.743131
2175	q1.oral_exposure.tmax.minute	0.0833333333	2175	1313	1246	0.563877	0.577471	0.658106	0.624524
52718	q2.intestinal_absorption.fraction_absorbed.percent	0.1250000000	52718	12948	10345	0.507662	0.661046	0.262156	0.209453
1419	q2.intestinal_permeability.peff.1e-4_cm_per_second	0.1250000000	1419	411	285	0.533609	0.654686	0.361404	0.250608
795	q2.intestinal_permeability.peff.1e-5_cm_per_second	0.0833333333	795	488	416	0.507727	0.516981	0.625000	0.532787
4249	q2.intestinal_permeability.peff.1e-6_cm_per_second	0.1250000000	4249	1603	1363	0.551481	0.592375	0.452678	0.384903
93	q2.intestinal_permeability.peff.1e6_cm_per_second	0.0833333333	93	28	33	0.573115	0.623656	0.393939	0.464286
378	q2.intestinal_permeability.peff.cm_min	0.1666666667	378	56	64	0.534434	0.751323	0.203125	0.232143
10621	q2.intestinal_permeability.peff.cm_per_second	0.1250000000	10621	1627	2033	0.510791	0.720930	0.171176	0.213891
439	q2.intestinal_permeability.peff.cm_s_1	0.1666666667	439	48	39	0.521557	0.829157	0.153846	0.125000
103	q2.intestinal_permeability.peff.x10_3_cm_min	0.0833333333	103	60	59	0.452816	0.466019	0.542373	0.533333
94	q2.intestinal_permeability.peff.x10_4_cm_s_1	0.0416666667	94	28	62	0.424490	0.425532	0.290323	0.642857
4942	q2.solubility.equilibrium.mg_ml	0.2500000000	4942	553	154	0.516322	0.871510	0.233766	0.065099
3560	q2.solubility.equilibrium.ug_ml	0.1250000000	3560	517	882	0.500495	0.684551	0.156463	0.266925
513	q2.solubility.equilibrium.um	0.1250000000	513	257	308	0.690780	0.693957	0.662338	0.793774
62	q2.solubility.kinetic.ug_ml	0.6250000000	62	2	6	0.732759	0.935484	0.333333	1.000000
1094	q3.gut_wall_escape.fg.percent	0.1250000000	1094	238	297	0.486620	0.620658	0.202020	0.252101
21478	q3.intestinal_permeability.papp.cm_per_second.absorptive	0.1250000000	21478	5945	6450	0.527636	0.612115	0.315039	0.341800
11856	q3.intestinal_permeability.papp.cm_per_second.secretory	0.1250000000	11856	3499	3411	0.532916	0.614204	0.342422	0.333810
203	q3.intestinal_permeability.papp.nm_s.absorptive	0.1666666667	203	55	40	0.539651	0.669951	0.350000	0.254545
135	q3.intestinal_permeability.papp.nm_s.secretory	0.1250000000	135	63	38	0.549183	0.577778	0.578947	0.349206
13777	q3.intestinal_transport.efflux_ratio.dimensionless_ratio.secretory_over_absorptive	0.1250000000	13777	3046	4138	0.496324	0.611672	0.221605	0.301051
1450	q4.cyp_metabolism.enzyme_contribution.percent.cyp1a2	0.0833333333	1450	547	853	0.542905	0.543448	0.432591	0.674589
66	q4.cyp_metabolism.enzyme_contribution.percent.cyp2a6	0.0833333333	66	14	15	0.624372	0.742424	0.400000	0.428571
168	q4.cyp_metabolism.enzyme_contribution.percent.cyp2b6	0.1250000000	168	59	52	0.576216	0.625000	0.461538	0.406780
770	q4.cyp_metabolism.enzyme_contribution.percent.cyp2c19	0.1250000000	770	219	254	0.467536	0.546753	0.244094	0.283105
408	q4.cyp_metabolism.enzyme_contribution.percent.cyp2c8	0.1250000000	408	92	122	0.467942	0.588235	0.188525	0.250000
907	q4.cyp_metabolism.enzyme_contribution.percent.cyp2c9	0.1250000000	907	347	241	0.476601	0.541345	0.356846	0.247839
1328	q4.cyp_metabolism.enzyme_contribution.percent.cyp2d6	0.1250000000	1328	310	456	0.508332	0.596386	0.252193	0.370968
602	q4.cyp_metabolism.enzyme_contribution.percent.cyp2e1	0.0833333333	602	142	181	0.566317	0.659468	0.325967	0.415493
380	q4.cyp_metabolism.enzyme_contribution.percent.cyp3a	0.1250000000	380	124	96	0.526599	0.610526	0.375000	0.290323
4736	q4.cyp_metabolism.enzyme_contribution.percent.cyp3a4	0.1250000000	4736	1335	1150	0.512017	0.622255	0.302609	0.260674
1867	q4.hepatic_clearance.hepatic_clearance.l_h	0.0833333333	1867	467	1079	0.476766	0.492234	0.277108	0.640257
2035	q4.hepatic_clearance.hepatic_clearance.l_h_kg	0.1250000000	2035	389	406	0.514625	0.694840	0.214286	0.223650
53	q4.hepatic_clearance.hepatic_clearance.l_min	0.0833333333	53	10	26	0.495238	0.547170	0.230769	0.600000
95	q4.hepatic_clearance.hepatic_clearance.ml_h	0.2500000000	95	15	2	0.580075	0.863158	1.000000	0.133333
10877	q4.hepatic_clearance.hepatic_clearance.ml_min	0.1250000000	10877	1904	3007	0.499649	0.650179	0.183904	0.290441
277	q4.hepatic_clearance.hepatic_clearance.ml_min_1	0.1666666667	277	38	24	0.600446	0.841155	0.375000	0.236842
2183	q4.hepatic_clearance.hepatic_clearance.ml_min_1_kg_1	0.1250000000	2183	512	838	0.528185	0.596885	0.280430	0.458984
27813	q4.hepatic_clearance.hepatic_clearance.ml_min_kg	0.1250000000	27813	7404	8264	0.512654	0.605580	0.284245	0.317261
1884	q4.hepatic_clearance.intrinsic_clearance.l_h	0.1250000000	1884	356	479	0.526895	0.673567	0.229645	0.308989
1059	q4.hepatic_clearance.intrinsic_clearance.l_h_kg	0.1666666667	1059	201	158	0.542176	0.742210	0.272152	0.213930
210	q4.hepatic_clearance.intrinsic_clearance.l_min	0.1250000000	210	57	56	0.618633	0.700000	0.446429	0.438596
218	q4.hepatic_clearance.intrinsic_clearance.ml_h_10_6_cells	0.0833333333	218	108	91	0.570129	0.573394	0.582418	0.490741
65	q4.hepatic_clearance.intrinsic_clearance.ml_mg_protein_min	0.1666666667	65	7	4	0.652406	0.892308	0.500000	0.285714
4560	q4.hepatic_clearance.intrinsic_clearance.ml_min	0.1666666667	4560	478	310	0.515220	0.846930	0.145161	0.094142
128	q4.hepatic_clearance.intrinsic_clearance.ml_min_1	0.1250000000	128	15	16	0.541219	0.804688	0.187500	0.200000
454	q4.hepatic_clearance.intrinsic_clearance.ml_min_1_g_1	0.5833333333	454	156	102	0.723864	0.775330	0.764706	0.500000
2198	q4.hepatic_clearance.intrinsic_clearance.ml_min_1_kg_1	0.1666666667	2198	331	160	0.501329	0.802093	0.175000	0.084592
153	q4.hepatic_clearance.intrinsic_clearance.ml_min_1_mg_1	0.5416666667	153	2	0	0.496711	0.986928	0.000000	0.000000
66	q4.hepatic_clearance.intrinsic_clearance.ml_min_1_mg_protein_1	0.0833333333	66	7	28	0.591753	0.681818	0.250000	1.000000
1170	q4.hepatic_clearance.intrinsic_clearance.ml_min_g	0.1666666667	1170	227	117	0.546739	0.772650	0.333333	0.171806
2602	q4.hepatic_clearance.intrinsic_clearance.ml_min_g_liver	0.2083333333	2602	553	194	0.541244	0.774404	0.412371	0.144665
31128	q4.hepatic_clearance.intrinsic_clearance.ml_min_kg	0.1250000000	31128	7324	10002	0.527996	0.620792	0.276045	0.376980
6894	q4.hepatic_clearance.intrinsic_clearance.ml_min_mg	0.1666666667	6894	894	664	0.523862	0.809109	0.182229	0.135347
10919	q4.hepatic_clearance.intrinsic_clearance.ml_min_mg_protein	0.1666666667	10919	1120	681	0.507101	0.850811	0.126285	0.076786
242	q4.hepatic_clearance.intrinsic_clearance.ml_min_nmol	0.2083333333	242	39	24	0.753648	0.888430	0.750000	0.461538
212	q4.hepatic_clearance.intrinsic_clearance.ml_min_nmol_p450	0.1666666667	212	40	46	0.533232	0.698113	0.239130	0.275000
314	q4.hepatic_clearance.intrinsic_clearance.ul_mg_min	0.1250000000	314	40	76	0.629916	0.777070	0.302632	0.575000
891	q4.hepatic_clearance.intrinsic_clearance.ul_mg_protein_min	0.1666666667	891	200	82	0.502894	0.735129	0.280488	0.115000
89	q4.hepatic_clearance.intrinsic_clearance.ul_min	0.1250000000	89	7	13	0.493038	0.797753	0.076923	0.142857
3318	q4.hepatic_clearance.intrinsic_clearance.ul_min_106_cells	0.1250000000	3318	966	1147	0.492081	0.559072	0.283348	0.336439
13711	q4.hepatic_clearance.intrinsic_clearance.ul_min_10_6_cells	0.1250000000	13711	4400	6624	0.524894	0.543141	0.359300	0.540909
91	q4.hepatic_clearance.intrinsic_clearance.ul_min_1_106_cells_1	0.1250000000	91	36	30	0.572100	0.604396	0.500000	0.416667
9433	q4.hepatic_clearance.intrinsic_clearance.ul_min_1_mg_1	0.1250000000	9433	1859	3128	0.499148	0.610410	0.209719	0.352878
403	q4.hepatic_clearance.intrinsic_clearance.ul_min_1_mg_1_protein	0.1250000000	403	80	69	0.559509	0.734491	0.304348	0.262500
292	q4.hepatic_clearance.intrinsic_clearance.ul_min_1_mg_protein_1	0.1250000000	292	85	103	0.505803	0.568493	0.300971	0.364706
104	q4.hepatic_clearance.intrinsic_clearance.ul_min_1_pmol_1	0.2083333333	104	7	0	0.482587	0.932692	0.000000	0.000000
75580	q4.hepatic_clearance.intrinsic_clearance.ul_min_mg	0.1250000000	75580	19201	27827	0.529369	0.596533	0.297086	0.430550
478	q4.hepatic_clearance.intrinsic_clearance.ul_min_mg_microsomal_protein	0.1666666667	478	74	112	0.646223	0.778243	0.357143	0.540541
60306	q4.hepatic_clearance.intrinsic_clearance.ul_min_mg_protein	0.1250000000	60306	11614	17490	0.497263	0.631844	0.197313	0.297141
680	q4.hepatic_clearance.intrinsic_clearance.ul_min_million_cells	0.1666666667	680	122	72	0.627239	0.817647	0.486111	0.286885
56	q4.hepatic_clearance.intrinsic_clearance.ul_min_nmol_cyp	0.1250000000	56	0	0	0.500000	1.000000	0.000000	0.000000
126	q4.hepatic_clearance.intrinsic_clearance.ul_min_nmol_p450	0.1250000000	126	8	36	0.531906	0.730159	0.138889	0.625000
238	q4.hepatic_clearance.intrinsic_clearance.ul_min_per_mg	0.2500000000	238	38	20	0.469889	0.773109	0.100000	0.052632
85	q4.hepatic_clearance.intrinsic_clearance.ul_min_per_mg_protein	0.1666666667	85	5	0	0.484848	0.941176	0.000000	0.000000
2306	q4.hepatic_clearance.intrinsic_clearance.ul_min_pmol	0.1666666667	2306	224	217	0.484745	0.821769	0.069124	0.066964
372	q4.hepatic_clearance.intrinsic_clearance.ul_min_pmol_cyp	0.1250000000	372	63	126	0.507050	0.626344	0.198413	0.396825
568	q4.hepatic_clearance.intrinsic_clearance.ul_min_pmol_p450	0.1666666667	568	73	43	0.510345	0.820423	0.162791	0.095890
119	q4.hepatic_clearance.intrinsic_clearance.ul_nmol_p450_min	0.1666666667	119	5	4	0.595827	0.941176	0.250000	0.200000
6170	q4.hepatic_escape.extraction_ratio.percent	0.1250000000	6170	1382	1625	0.501156	0.632253	0.227077	0.267004
6693	q4.hepatic_metabolism.half_life.hour	0.1250000000	6693	3006	2145	0.456431	0.485283	0.397669	0.283766
33863	q4.hepatic_metabolism.half_life.minute	0.1250000000	33863	12912	10457	0.493678	0.542303	0.376303	0.304755
166	q4.ugt_metabolism.enzyme_contribution.percent.ugt	0.7083333333	166	31	0	0.448505	0.813253	0.000000	0.000000
53	q4.ugt_metabolism.enzyme_contribution.percent.ugt1a9	0.2500000000	53	4	0	0.480392	0.924528	0.000000	0.000000
110	q4.ugt_metabolism.enzyme_contribution.percent.ugt2b7	0.0833333333	110	55	73	0.532948	0.545455	0.534247	0.709091
3971	starling.oral_bioavailability.systemic_availability.percent	0.1250000000	3971	1186	1060	0.546197	0.631831	0.369811	0.330523
