train_rows	canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
68520	oral_bioavailability.absolute.percent	0.3333333333	68520	20789	14409	0.567391	0.669702	0.436047	0.302227
262	q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.0833333333	262	213	191	0.448762	0.610687	0.790576	0.708920
136	q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.0833333333	136	113	88	0.456801	0.580882	0.818182	0.637168
293	q1.oral_exposure.auc.h_ng_ml.dosing_interval	0.1250000000	293	35	68	0.558283	0.744027	0.205882	0.400000
222	q1.oral_exposure.auc.h_ng_ml.zero_to_24h	0.1250000000	222	32	51	0.607316	0.761261	0.294118	0.468750
3071	q1.oral_exposure.auc.h_ng_ml.zero_to_infinity	0.1666666667	3071	564	210	0.518081	0.787691	0.290476	0.108156
3409	q1.oral_exposure.auc.h_ng_ml.zero_to_last	0.1666666667	3409	603	223	0.539901	0.804048	0.354260	0.131012
79	q1.oral_exposure.auc.h_ng_ml_1.zero_to_infinity	0.1250000000	79	8	31	0.608490	0.708861	0.258065	1.000000
380	q1.oral_exposure.auc.h_ng_ml_1.zero_to_last	0.2500000000	380	36	12	0.733146	0.936842	1.000000	0.333333
109	q1.oral_exposure.auc.h_pg_ml.zero_to_infinity	0.1666666667	109	9	36	0.565960	0.715596	0.194444	0.777778
166	q1.oral_exposure.auc.h_pg_ml.zero_to_last	0.1666666667	166	24	38	0.563680	0.734940	0.236842	0.375000
641	q1.oral_exposure.auc.h_ug_ml.zero_to_infinity	0.0833333333	641	212	379	0.514990	0.517941	0.372032	0.665094
489	q1.oral_exposure.auc.h_ug_ml.zero_to_last	0.1250000000	489	206	164	0.600036	0.623722	0.567073	0.451456
59	q1.oral_exposure.auc.h_um.zero_to_last	0.1250000000	59	0	0	0.500000	1.000000	0.000000	0.000000
72	q1.oral_exposure.auc.hr_ng_ml.zero_to_infinity	0.1666666667	72	7	0	0.474453	0.902778	0.000000	0.000000
50	q1.oral_exposure.auc.hr_ng_ml.zero_to_last	0.1666666667	50	7	4	0.846782	0.940000	1.000000	0.571429
389	q1.oral_exposure.auc.mg_h_l.zero_to_infinity	0.1250000000	389	106	107	0.511912	0.611825	0.289720	0.292453
453	q1.oral_exposure.auc.mg_h_l.zero_to_last	0.1250000000	453	178	91	0.537359	0.613687	0.516484	0.264045
162	q1.oral_exposure.auc.mg_l_h.zero_to_infinity	0.1666666667	162	44	17	0.666771	0.796296	0.823529	0.318182
240	q1.oral_exposure.auc.mg_l_h.zero_to_last	0.1666666667	240	49	20	0.754575	0.879167	1.000000	0.408163
1196	q1.oral_exposure.auc.ng_h_ml.dosing_interval	0.3333333333	1196	182	14	0.505390	0.851171	0.642857	0.049451
237	q1.oral_exposure.auc.ng_h_ml.steady_state	0.2083333333	237	22	0	0.475664	0.907173	0.000000	0.000000
95	q1.oral_exposure.auc.ng_h_ml.zero_to_12h	0.1250000000	95	12	25	0.614026	0.757895	0.280000	0.583333
495	q1.oral_exposure.auc.ng_h_ml.zero_to_24h	0.1666666667	495	46	63	0.530923	0.816162	0.142857	0.195652
11520	q1.oral_exposure.auc.ng_h_ml.zero_to_infinity	0.1666666667	11520	2139	1407	0.532039	0.756250	0.262260	0.172511
11987	q1.oral_exposure.auc.ng_h_ml.zero_to_last	0.2083333333	11987	2044	882	0.532871	0.799783	0.298186	0.128669
378	q1.oral_exposure.auc.ng_h_ml_1.zero_to_infinity	0.2083333333	378	59	13	0.616228	0.867725	0.846154	0.186441
268	q1.oral_exposure.auc.ng_h_ml_1.zero_to_last	0.2083333333	268	33	10	0.658663	0.899254	0.800000	0.242424
536	q1.oral_exposure.auc.ng_hr_ml.zero_to_infinity	0.2083333333	536	98	15	0.569684	0.837687	0.866667	0.132653
728	q1.oral_exposure.auc.ng_hr_ml.zero_to_last	0.3333333333	728	175	21	0.487075	0.760989	0.523810	0.062857
57	q1.oral_exposure.auc.ng_min_ml.zero_to_last	0.1666666667	57	2	2	1.000000	1.000000	1.000000	1.000000
109	q1.oral_exposure.auc.ng_ml_1_h.zero_to_infinity	0.1666666667	109	17	6	0.538239	0.825688	0.333333	0.117647
185	q1.oral_exposure.auc.ng_ml_1_h.zero_to_last	0.1250000000	185	23	16	0.527074	0.821622	0.187500	0.130435
585	q1.oral_exposure.auc.ng_ml_h.zero_to_infinity	0.2083333333	585	87	11	0.521113	0.852991	0.545455	0.068966
842	q1.oral_exposure.auc.ng_ml_h.zero_to_last	0.1250000000	842	177	230	0.522087	0.649644	0.243478	0.316384
144	q1.oral_exposure.auc.nm_h.zero_to_infinity	0.2916666667	144	21	2	0.551107	0.868056	1.000000	0.095238
276	q1.oral_exposure.auc.nm_h.zero_to_last	0.2916666667	276	37	4	0.538924	0.873188	0.750000	0.081081
146	q1.oral_exposure.auc.nmol_h_l.zero_to_infinity	0.7500000000	146	29	0	0.444867	0.801370	0.000000	0.000000
183	q1.oral_exposure.auc.nmol_h_l.zero_to_last	0.4166666667	183	48	0	0.424528	0.737705	0.000000	0.000000
50	q1.oral_exposure.auc.percent.dosing_interval	0.0833333333	50	25	28	0.498193	0.500000	0.500000	0.560000
657	q1.oral_exposure.auc.percent.zero_to_infinity	0.0833333333	657	548	490	0.545929	0.698630	0.857143	0.766423
440	q1.oral_exposure.auc.percent.zero_to_last	0.1250000000	440	308	159	0.450202	0.452273	0.710692	0.366883
363	q1.oral_exposure.auc.pg_h_ml.zero_to_infinity	0.1666666667	363	145	122	0.736383	0.754821	0.729508	0.613793
712	q1.oral_exposure.auc.pg_h_ml.zero_to_last	0.1666666667	712	125	56	0.477827	0.768258	0.142857	0.064000
875	q1.oral_exposure.auc.ug_h_l.zero_to_infinity	0.1250000000	875	121	327	0.465966	0.593143	0.140673	0.380165
742	q1.oral_exposure.auc.ug_h_l.zero_to_last	0.2083333333	742	88	31	0.492954	0.850404	0.129032	0.045455
345	q1.oral_exposure.auc.ug_h_ml.dosing_interval	0.1250000000	345	112	85	0.584384	0.660870	0.470588	0.357143
73	q1.oral_exposure.auc.ug_h_ml.zero_to_12h	0.0000000000	73	43	73	0.370690	0.589041	0.589041	1.000000
3410	q1.oral_exposure.auc.ug_h_ml.zero_to_infinity	0.2083333333	3410	804	229	0.570468	0.779179	0.611354	0.174129
2922	q1.oral_exposure.auc.ug_h_ml.zero_to_last	0.1250000000	2922	715	815	0.561728	0.661191	0.331288	0.377622
263	q1.oral_exposure.auc.ug_h_ml_1.zero_to_infinity	0.9166666667	263	71	5	0.492456	0.749049	1.000000	0.070423
273	q1.oral_exposure.auc.ug_h_ml_1.zero_to_last	0.1250000000	273	85	86	0.595556	0.652015	0.441860	0.447059
135	q1.oral_exposure.auc.ug_hr_ml.zero_to_infinity	0.3333333333	135	52	1	0.401356	0.622222	1.000000	0.019231
148	q1.oral_exposure.auc.ug_hr_ml.zero_to_last	0.2083333333	148	39	2	0.447920	0.736486	0.500000	0.025641
