canonical_endpoint_key	threshold	n	actual_transfer	predicted_transfer	macro_f1	accuracy	transfer_precision	transfer_recall
oral_bioavailability.absolute.percent	0.2828282828	68520	20789	14421	0.567449	0.669673	0.436031	0.302468
q1.oral_exposure.auc.day_ng_ml.zero_to_infinity	0.9292929293	15	2	2	0.711538	0.866667	0.500000	0.500000
q1.oral_exposure.auc.dimensionless_ratio.dosing_interval	0.0000000000	3	3	3	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.dimensionless_ratio.zero_to_infinity	0.0505050505	262	213	231	0.454167	0.717557	0.800866	0.868545
q1.oral_exposure.auc.dimensionless_ratio.zero_to_last	0.0808080808	136	113	94	0.464288	0.610294	0.819149	0.681416
q1.oral_exposure.auc.h_mg_l.zero_to_infinity	0.0909090909	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_mg_l.zero_to_last	0.1818181818	45	15	15	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_infinity	0.1212121212	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_eq_g.zero_to_last	0.1212121212	8	2	2	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_ml.dosing_interval	0.1313131313	293	35	61	0.576446	0.767918	0.229508	0.400000
q1.oral_exposure.auc.h_ng_ml.steady_state	0.1414141414	5	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_ng_ml.zero_to_12h	0.0000000000	1	1	1	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ng_ml.zero_to_24h	0.1212121212	222	32	64	0.641164	0.756757	0.328125	0.656250
q1.oral_exposure.auc.h_ng_ml.zero_to_infinity	0.1616161616	3071	564	230	0.524124	0.785738	0.295652	0.120567
q1.oral_exposure.auc.h_ng_ml.zero_to_last	0.1717171717	3409	603	187	0.538988	0.811088	0.390374	0.121061
q1.oral_exposure.auc.h_ng_ml_1.zero_to_infinity	0.1212121212	79	8	31	0.608490	0.708861	0.258065	1.000000
q1.oral_exposure.auc.h_ng_ml_1.zero_to_last	0.2323232323	380	36	12	0.733146	0.936842	1.000000	0.333333
q1.oral_exposure.auc.h_nm.zero_to_infinity	0.1111111111	2	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_nm.zero_to_last	0.1111111111	24	11	10	0.449735	0.458333	0.400000	0.363636
q1.oral_exposure.auc.h_pg_ml.zero_to_infinity	0.1919191919	109	9	17	0.650641	0.853211	0.294118	0.555556
q1.oral_exposure.auc.h_pg_ml.zero_to_last	0.1717171717	166	24	35	0.577451	0.753012	0.257143	0.375000
q1.oral_exposure.auc.h_ug_l.zero_to_infinity	0.1111111111	21	4	3	0.742857	0.857143	0.666667	0.500000
q1.oral_exposure.auc.h_ug_l.zero_to_last	0.1212121212	13	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_ug_ml.dosing_interval	0.1010101010	17	9	13	0.742424	0.764706	0.692308	1.000000
q1.oral_exposure.auc.h_ug_ml.steady_state	0.0000000000	5	5	5	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ug_ml.zero_to_24h	0.0000000000	5	5	5	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.h_ug_ml.zero_to_infinity	0.0909090909	641	212	351	0.529698	0.536661	0.378917	0.627358
q1.oral_exposure.auc.h_ug_ml.zero_to_last	0.1111111111	489	206	244	0.654242	0.656442	0.577869	0.684466
q1.oral_exposure.auc.h_ug_ml_1.zero_to_infinity	0.0505050505	4	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_um.zero_to_infinity	0.1111111111	28	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_um.zero_to_last	0.1111111111	59	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.h_x_ng_ml.zero_to_last	0.1010101010	3	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.hour_ng_ml.zero_to_infinity	0.1010101010	9	2	0	0.437500	0.777778	0.000000	0.000000
q1.oral_exposure.auc.hour_ng_ml.zero_to_last	0.1010101010	12	3	1	0.700000	0.833333	1.000000	0.333333
q1.oral_exposure.auc.hr_ng_ml.zero_to_infinity	0.1515151515	72	7	0	0.474453	0.902778	0.000000	0.000000
q1.oral_exposure.auc.hr_ng_ml.zero_to_last	0.1515151515	50	7	4	0.846782	0.940000	1.000000	0.571429
q1.oral_exposure.auc.hr_ug_ml.zero_to_infinity	0.1717171717	14	4	0	0.416667	0.714286	0.000000	0.000000
q1.oral_exposure.auc.hr_ug_ml.zero_to_last	0.0000000000	9	9	9	0.500000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.mcg_hr_ml.zero_to_last	0.1717171717	24	10	10	1.000000	1.000000	1.000000	1.000000
q1.oral_exposure.auc.mg_h_l.zero_to_infinity	0.1313131313	389	106	90	0.536223	0.650386	0.333333	0.283019
q1.oral_exposure.auc.mg_h_l.zero_to_last	0.0909090909	453	178	226	0.535403	0.540839	0.433628	0.550562
q1.oral_exposure.auc.mg_hr_l.zero_to_last	0.1111111111	6	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.mg_l_1_h.zero_to_last	0.1010101010	6	0	0	0.500000	1.000000	0.000000	0.000000
q1.oral_exposure.auc.mg_l_h.zero_to_168h	0.1212121212	4	0	0	0.500000	1.000000	0.000000	0.000000
