source_id,source_row_number,pmid,extraction_id,molecule_name,normalized_molecule_name,resolved_global_identifier,resolution_method,evidence_source_rows
q3,763,23686319,ext_22,FEX,fex,SMILES:497308,same_pmid_unique_name,757
q3,771,23686319,ext_34,FEX,fex,SMILES:497308,same_pmid_unique_name,757
q3,772,23686319,ext_35,SASP,sasp,SMILES:3648876,same_pmid_unique_name,"758,761,767,768"
q3,7557,22475331,ext_46,resveratrol,resveratrol,SMILES:4123678,same_pmid_unique_name,7537
q3,10120,23539429,ext_12,CMDCK,cmdck,SMILES:1797724,source_unique_name,"25714,25716,25718"
q3,10854,25253884,ext_18,alfentanil,alfentanil,SMILES:942154,source_unique_name,"4216,4591,11381,12932,12933,17990,17991,19081,19082,19083,22003,23702,26158,26159,26161,26162"
q3,10855,25253884,ext_19,alprazolam,alprazolam,SMILES:2903317,source_unique_name,"3729,3767,4207,11375,11376,11377,16073,16217,16348,16887,27066,27067,27068,27069"
q3,10857,25253884,ext_21,buspirone,buspirone,SMILES:3777824,source_unique_name,"4996,8482,9583,10094,10096,12997,16072,16219,16543,17598,23690"
q3,10861,25253884,ext_26,nifedipine,nifedipine,SMILES:1880431,source_unique_name,"9,1757,2144,2652,4538,7244,7968,8479,8485,8507,9843,10109,10110,10244,11435,11989,11992,12246,12945,13501"
q3,11474,18654741,ext_61,topotecan,topotecan,SMILES:1620459,same_pmid_unique_name,"11454,11456,11458,11459,11462,11464,11468"
q3,16221,17968744,ext_6,buspirone,buspirone,SMILES:3777824,same_pmid_unique_name,16219
q3,16222,17968744,ext_7,alprazolam,alprazolam,SMILES:2903317,same_pmid_unique_name,16217
q3,18837,25061161,ext_4,Alprazolam,alprazolam,SMILES:2903317,source_unique_name,"3729,3767,4207,11375,11376,11377,16073,16217,16348,16887,27066,27067,27068,27069"
q3,18838,25061161,ext_5,Alprazolam,alprazolam,SMILES:2903317,source_unique_name,"3729,3767,4207,11375,11376,11377,16073,16217,16348,16887,27066,27067,27068,27069"
q3,18839,25061161,ext_6,Alprazolam,alprazolam,SMILES:2903317,source_unique_name,"3729,3767,4207,11375,11376,11377,16073,16217,16348,16887,27066,27067,27068,27069"
q3,18840,25061161,ext_7,Cerivastatin,cerivastatin,SMILES:2028283,source_unique_name,"16651,26744"
q3,18841,25061161,ext_9,Cerivastatin,cerivastatin,SMILES:2028283,source_unique_name,"16651,26744"
q3,18842,25061161,ext_11,Zolpidem,zolpidem,SMILES:2710356,source_unique_name,"3725,3758,4212"
