source_id,source_row_number,pmid,extraction_id,molecule_name,normalized_molecule_name,resolved_global_identifier,resolution_method,evidence_source_rows
q3,18845,25061161,ext_17,Gefitinib,gefitinib,SMILES:2180025,source_unique_name,"2204,4506,4507,18274,18944,18945,18946,21452"
q3,18846,25061161,ext_18,Gefitinib,gefitinib,SMILES:2180025,source_unique_name,"2204,4506,4507,18274,18944,18945,18946,21452"
q3,18847,25061161,ext_20,Imatinib,imatinib,SMILES:2752518,source_unique_name,"2203,2227,2910,2914,2918,2922,2930,2936,2937,2938,3871,4508,4509,7750,7751,7752,7753,8613,8614,11069"
q3,18848,25061161,ext_21,Imatinib,imatinib,SMILES:2752518,source_unique_name,"2203,2227,2910,2914,2918,2922,2930,2936,2937,2938,3871,4508,4509,7750,7751,7752,7753,8613,8614,11069"
q3,18850,25061161,ext_26,Nilotinib,nilotinib,SMILES:2851903,source_unique_name,"5591,8856,8857,8858,18281,18282,22911,24653,25809,26063,26064,26520,26521,26522"
q3,18851,25061161,ext_27,Nilotinib,nilotinib,SMILES:2851903,source_unique_name,"5591,8856,8857,8858,18281,18282,22911,24653,25809,26063,26064,26520,26521,26522"
q3,18861,25061161,ext_37,Simvastatin,simvastatin,SMILES:955424,source_unique_name,"3937,3958,4210,4689,7574,10191,10438,10439,10440,10529,10864,10873,12030,14614,15193,15721,15825,15827,15828,16627"
q3,18862,25061161,ext_38,Simvastatin,simvastatin,SMILES:955424,source_unique_name,"3937,3958,4210,4689,7574,10191,10438,10439,10440,10529,10864,10873,12030,14614,15193,15721,15825,15827,15828,16627"
q3,18864,25061161,ext_41,Buspirone,buspirone,SMILES:3777824,source_unique_name,"4996,8482,9583,10094,10096,12997,16072,16219,16543,17598,23690"
q3,18865,25061161,ext_42,Budesonide,budesonide,SMILES:1035558,source_unique_name,"3810,9177,9178,9179,9180,9181,9182,9183,10176,10186,10302,10303,10304,11511,13424,13426,13427,13429,13435,13439"
q3,18866,25061161,ext_43,Budesonide,budesonide,SMILES:1035558,source_unique_name,"3810,9177,9178,9179,9180,9181,9182,9183,10176,10186,10302,10303,10304,11511,13424,13426,13427,13429,13435,13439"
q3,21109,32354111,ext_27,Buspirone,buspirone,SMILES:3777824,source_unique_name,"4996,8482,9583,10094,10096,12997,16072,16219,16543,17598,23690"
q3,21112,32354111,ext_30,Midazolam,midazolam,SMILES:2893179,same_pmid_unique_name,"21094,21101"
q3,21113,32354111,ext_31,Nifedipine,nifedipine,SMILES:1880431,source_unique_name,"9,1757,2144,2652,4538,7244,7968,8479,8485,8507,9843,10109,10110,10244,11435,11989,11992,12246,12945,13501"
q3,21115,32354111,ext_33,Indinavir,indinavir,SMILES:516751,source_unique_name,"269,888,915,1064,1462,1467,1661,1835,1844,1845,1941,1950,2374,2616,2728,2729,2730,2731,2732,2733"
q3,21116,32354111,ext_34,Oxybutynin,oxybutynin,SMILES:1400781,source_unique_name,"9513,19263,22422,22691,24362,24363,25372,27155,27202"
q3,21117,32354111,ext_35,Saquinavir,saquinavir,SMILES:516890,source_unique_name,"271,890,914,964,965,966,967,968,969,970,971,972,973,974,975,976,977,978,979,980"
q3,21118,32354111,ext_36,Quinidine,quinidine,SMILES:289125,source_unique_name,"48,49,50,241,245,246,247,248,249,250,251,262,357,366,373,380,389,488,491,499"
q3,23707,18855612,ext_71,midazolam,midazolam,SMILES:2893179,same_pmid_unique_name,"23696,23700,23701"
